dataset,init_min_jaccard,init_max_jaccard,init_mean_jaccard,rfn_min_jaccard,rfn_max_jaccard,rfn_mean_jaccard
Health-Commits0009,0.09,0.88,0.46,0.15,0.82,0.51
Health-Commits0010,0.10,0.86,0.46,0.18,0.84,0.51
Health-Commits0011,0.00,0.86,0.38,0.29,0.87,0.59
Car_price_cleaned,0.00,0.55,0.14,0.04,0.49,0.25
Wine_quality,0.00,0.62,0.23,0.11,0.71,0.35
auto93,0.15,0.94,0.51,0.27,0.97,0.71
coc1000,0.00,0.47,0.13,0.00,0.50,0.19
nasa93dem,0.11,0.75,0.38,0.45,0.94,0.69
pom3a,0.00,0.68,0.21,0.13,0.80,0.39
pom3b,0.00,0.62,0.25,0.06,0.67,0.41
pom3c,0.00,0.69,0.25,0.17,0.65,0.37
pom3d,0.00,0.69,0.21,0.06,0.65,0.35
xomo_flight,0.00,0.58,0.20,0.15,0.62,0.33
xomo_ground,0.00,0.55,0.16,0.11,0.57,0.31
xomo_osp,0.00,0.54,0.22,0.11,0.58,0.31
xomo_osp2,0.00,0.44,0.12,0.06,0.51,0.26
A2C_Acrobot,0.06,0.82,0.26,0.07,0.78,0.41
A2C_CartPole,0.05,0.80,0.36,0.21,0.79,0.47
Marketing_Analytics,0.00,0.51,0.15,0.07,0.60,0.31
accessories,0.29,0.91,0.57,0.16,0.85,0.48
dress-up,0.00,0.82,0.32,0.15,0.76,0.42
socks,0.32,1.00,0.72,0.47,1.00,0.80
wallpaper,0.43,0.93,0.67,0.62,0.99,0.81
7z,0.13,0.91,0.45,0.37,0.93,0.66
BDBC,0.13,0.73,0.38,0.47,0.94,0.70
HSQLDB,0.06,0.74,0.35,0.13,0.77,0.46
LLVM,0.06,0.66,0.29,0.51,0.94,0.72
PostgreSQL,0.23,0.93,0.51,0.29,0.87,0.61
dconvert,0.00,0.66,0.20,0.11,0.55,0.30
deeparch,0.00,0.67,0.23,0.39,0.96,0.72
exastencils,0.09,0.82,0.43,0.36,0.86,0.63
javagc,0.00,0.45,0.11,0.05,0.52,0.23
redis,0.00,0.61,0.26,0.11,0.66,0.36
storm,0.07,1.00,0.42,0.17,0.68,0.46
x264,0.00,0.76,0.23,0.17,0.65,0.37
dataset120,0.06,1.00,0.32,0.08,0.66,0.35
dataset600,0.04,0.78,0.29,0.10,0.70,0.37
