all_players,7.0,10.0,7.0,31.0,77.0
auto93,22.0,28.0,17.0,60.0,87.0
billing10k,4.0,11.0,37.0,34.0,69.0
coc1000,0.0,3.0,7.0,38.0,95.0
dataset120,2.0,11.0,29.0,36.0,72.0
dataset600,5.0,11.0,16.0,17.0,94.0
dconvert,26.0,46.0,16.0,17.0,38.0
deeparch,21.0,10.0,12.0,31.0,63.0
dress-up,2.0,22.0,37.0,44.0,74.0
exastencils,4.0,17.0,24.0,46.0,69.0
home_data_for_ml_course,4.0,7.0,25.0,32.0,81.0
javagc,37.0,31.0,22.0,61.0,21.0
nasa93dem,84.0,78.0,77.0,83.0,87.0
player_statistics_cleaned_final,79.0,81.0,81.0,88.0,98.0
pom3a,2.0,3.0,19.0,48.0,81.0
pom3b,1.0,8.0,16.0,68.0,86.0
pom3c,0.0,4.0,26.0,52.0,92.0
pom3d,1.0,0.0,16.0,38.0,97.0
redis,0.0,3.0,17.0,38.0,92.0
rs-6d-c3_obj1,16.0,57.0,34.0,23.0,40.0
rs-6d-c3_obj2,41.0,10.0,51.0,41.0,37.0
socks,35.0,9.0,28.0,59.0,21.0
sol-6d-c2-obj1,16.0,20.0,16.0,61.0,39.0
storm,36.0,24.0,21.0,13.0,60.0
student_dropout,98.0,98.0,76.0,60.0,57.0
wallpaper,61.0,50.0,53.0,56.0,45.0
wc+rs-3d-c4-obj1,73.0,56.0,43.0,47.0,58.0
wc+sol-3d-c4-obj1,68.0,65.0,56.0,67.0,56.0
wc+wc-3d-c4-obj1,60.0,74.0,55.0,63.0,62.0
wc-6d-c1-obj1,9.0,21.0,10.0,12.0,77.0
x264,16.0,15.0,19.0,34.0,59.0
xomo_flight,5.0,1.0,20.0,56.0,88.0
xomo_ground,6.0,5.0,13.0,39.0,83.0
xomo_osp,2.0,2.0,24.0,63.0,80.0
xomo_osp2,1.0,6.0,20.0,53.0,87.0
