trt, performance_error, stability_aggreement, best_performance, best_stability
near, 10.84, 28, 1, 93
xploit, 11.24, 3, 1, 6
xplor, 9.17, 0, 1, 6
adapt, 12.52, 4, 1, 4
bore, 9.34, 1, 1, 1
random, 6.26, 4, 1, 4
