trt, performance_error, stability_aggreement, best_performance, best_stability
near, 32.33, 18, 1, 78
xploit, 46.86, 0, 0, 9
xplor, 29.39, 0, 1, 27
adapt, 36.70, 0, 0, 4
bore, 37.73, 3, 0, 6
random, 21.80, 0, 1, 4
