trt, performance_error, stability_aggreement, best_performance, best_stability
near, 0.00, 39, 1, 76
xploit, 0.00, 14, 1, 57
xplor, 6.73, 6, 1, 44
adapt, 4.02, 9, 1, 42
bore, 0.00, 8, 1, 52
random, 1.12, 9, 1, 42
