trt, performance_error, stability_aggreement, best_performance, best_stability
near, 27.58, 0, 1, 84
xploit, 30.14, 0, 1, 2
xplor, 29.89, 0, 1, 15
adapt, 28.28, 0, 1, 9
bore, 29.49, 0, 1, 2
random, 25.72, 0, 1, 9
