trt, performance_error, stability_aggreement, best_performance, best_stability
near, 26.15, 0, 1, 79
xploit, 24.33, 0, 1, 8
xplor, 28.63, 0, 1, 11
adapt, 26.30, 0, 1, 8
bore, 27.01, 0, 1, 17
random, 30.30, 0, 1, 8
