trt, performance_error, stability_aggreement, best_performance, best_stability
near, 18.03, 18, 1, 83
xploit, 33.47, 7, 1, 74
xplor, 29.08, 7, 1, 85
adapt, 29.08, 7, 1, 77
bore, 33.49, 11, 1, 87
random, 28.65, 7, 1, 77
