trt, performance_error, stability_aggreement, best_performance, best_stability
near, 4.62, 48, 1, 84
xploit, 5.53, 0, 1, 2
xplor, 6.47, 5, 1, 22
adapt, 14.60, 6, 1, 8
bore, 5.81, 0, 1, 7
random, 6.78, 6, 1, 8
