trt, performance_error, stability_aggreement, best_performance, best_stability
near, 33.43, 0, 1, 50
xploit, 29.00, 0, 1, 20
xplor, 31.44, 0, 1, 25
adapt, 30.41, 0, 1, 27
bore, 27.46, 0, 1, 14
random, 30.42, 0, 1, 27
