trt, performance_error, stability_aggreement, best_performance, best_stability
near, 1.26, 100, 1, 100
xploit, 1.18, 0, 1, 0
xplor, 1.26, 0, 1, 0
adapt, 1.18, 0, 1, 0
bore, 1.26, 0, 1, 0
random, 1.26, 0, 1, 0
