trt, performance_error, stability_aggreement, best_performance, best_stability
near, 1.52, 2, 1, 32
xploit, 1.92, 9, 1, 21
xplor, 4.82, 7, 1, 52
adapt, 4.84, 0, 1, 28
bore, 17.19, 2, 1, 4
random, 1.00, 0, 1, 28
