trt, performance_error, stability_aggreement, best_performance, best_stability
near, 5.16, 0, 1, 54
xploit, 6.81, 0, 1, 5
xplor, 7.53, 0, 0, 42
adapt, 5.74, 0, 1, 37
bore, 7.46, 0, 0, 0
random, 4.82, 0, 1, 37
