trt, performance_error, stability_aggreement, best_performance, best_stability
near, 59.48, 0, 1, 86
xploit, 72.08, 0, 0, 0
xplor, 67.87, 0, 0, 21
adapt, 73.85, 0, 0, 6
bore, 72.65, 0, 0, 0
random, 58.98, 0, 1, 6
