trt, performance_error, stability_aggreement, best_performance, best_stability
near, 2.28, 10, 1, 52
xploit, 1.60, 13, 1, 59
xplor, 0.45, 10, 1, 50
adapt, 0.22, 10, 1, 49
bore, 1.64, 44, 1, 88
random, 2.22, 10, 1, 49
