trt, performance_error, stability_aggreement, best_performance, best_stability
near, 19.83, 6, 0, 45
xploit, 15.80, 0, 1, 14
xplor, 17.02, 2, 0, 48
adapt, 15.41, 1, 1, 25
bore, 14.87, 0, 1, 15
random, 17.36, 1, 0, 25
