trt, performance_error, stability_aggreement, best_performance, best_stability
near, 0.84, 68, 1, 92
xploit, 4.10, 1, 1, 0
xplor, 3.97, 58, 1, 66
adapt, 6.03, 50, 1, 59
bore, 2.28, 0, 1, 0
random, 0.89, 50, 1, 59
