trt, performance_error, stability_aggreement, best_performance, best_stability
near, 34.73, 0, 1, 19
xploit, 42.43, 0, 1, 9
xplor, 40.53, 0, 1, 54
adapt, 38.83, 0, 1, 36
bore, 39.35, 0, 1, 3
random, 39.47, 0, 1, 36
