trt, performance_error, stability_aggreement, best_performance, best_stability
near, 0.32, 75, 1, 71
xploit, 4.04, 28, 1, 43
xplor, 14.74, 46, 1, 48
adapt, 4.25, 28, 1, 23
bore, 0.22, 68, 1, 59
random, 0.39, 28, 1, 23
