trt, performance_error, stability_aggreement, best_performance, best_stability
near, 24.16, 3, 1, 73
xploit, 29.74, 0, 0, 12
xplor, 31.52, 0, 0, 18
adapt, 33.08, 0, 0, 10
bore, 24.17, 0, 1, 18
random, 19.50, 0, 1, 10
