trt, performance_error, stability_aggreement, best_performance, best_stability
near, 27.10, 0, 1, 43
xploit, 20.64, 0, 1, 24
xplor, 38.16, 0, 1, 23
adapt, 37.16, 0, 1, 23
bore, 26.08, 0, 1, 20
random, 30.77, 0, 1, 23
