Dataset, SS-C
Sigmas, 0.15, 0.25, 0.35, 0.45, 0.55, 0.65, 0.75, 0.85, 1
initial_Aggrement, 0, 0, 0, 2, 16, 33, 51, 60, 77
refined_Aggrement, 0, 11, 46, 50, 71, 100, 100, 100, 100
