Dataset, socks
Sigmas, 0.15, 0.25, 0.35, 0.45, 0.55, 0.65, 0.75, 0.85, 1
initial_Aggrement, 0, 0, 0, 0, 7, 7, 7, 27, 59
refined_Aggrement, 5, 21, 27, 61, 65, 95, 100, 100, 100
