Dataset, Health-ClosedIssues0000
Sigmas, 0.15, 0.25, 0.35, 0.45, 0.55, 0.65, 0.75, 0.85, 1
initial_Aggrement, 0, 3, 6, 6, 27, 31, 58, 63, 71
refined_Aggrement, 0, 37, 59, 60, 75, 93, 100, 100, 100
