Dataset, SS-A
Sigmas, 0.15, 0.25, 0.35, 0.45, 0.55, 0.65, 0.75, 0.85, 1
initial_Aggrement, 0, 0, 0, 0, 0, 0, 6, 11, 73
refined_Aggrement, 1, 15, 22, 28, 46, 52, 52, 100, 100
