Dataset, Apache_AllMeasurements
Sigmas, 0.15, 0.25, 0.35, 0.45, 0.55, 0.65, 0.75, 0.85, 1
initial_Aggrement, 0, 0, 1, 5, 14, 22, 25, 28, 41
refined_Aggrement, 11, 15, 21, 25, 28, 42, 43, 48, 53
