dataset,random,ezr,causal,Saved: results/9/7z.csv
pom3c,0.0,1.0,1.0,
pom3d,0.0,1.0,1.0,
redis,1.0,1.0,1.0,
rs-6d-c3_obj1,1.0,1.0,1.0,
rs-6d-c3_obj2,0.0,1.0,0.0,
socks,1.0,1.0,1.0,
sol-6d-c2-obj1,0.0,1.0,1.0,
storm,1.0,1.0,1.0,
student_dropout,1.0,1.0,1.0,
wallpaper,0.0,0.0,1.0,
wc+rs-3d-c4-obj1,0.0,1.0,0.0,
wc+sol-3d-c4-obj1,0.0,1.0,0.0,
wc+wc-3d-c4-obj1,0.0,1.0,0.0,
wc-6d-c1-obj1,0.0,1.0,1.0,
x264,1.0,1.0,1.0,
xomo_flight,0.0,1.0,1.0,
xomo_ground,0.0,1.0,1.0,
xomo_osp,0.0,1.0,1.0,
xomo_osp2,0.0,1.0,1.0,
