trt, performance_error, stability_agreement, best_performance, best_stability
random, 21.81, 1, 0, 36
ezr, 15.96, 1, 1, 55
causal, 17.91, 0, 1, 23

Saved: results/9/WA_Fn-UseC_-HR-Employee-Attrition.csv
