trt, performance_error, stability_agreement, best_performance, best_stability
random, 0.92, 56, 0, 57
ezr, 0.77, 41, 1, 37
causal, 0.87, 45, 0, 19

Saved: results/9/rs-6d-c3_obj2.csv
