trt, performance_error, stability_agreement, best_performance, best_stability
random, 0.00, 0, 1, 2
ezr, 0.00, 0, 1, 48
causal, 0.00, 0, 1, 81

Saved: results/9/Medical_Data_and_Hospital_Readmissions.csv
