trt, performance_error, stability_agreement, best_performance, best_stability
random, 4.52, 28, 0, 24
ezr, 2.68, 29, 0, 23
causal, 0.00, 52, 1, 62

Saved: results/9/Apache_AllMeasurements.csv
