trt, performance_error, stability_agreement, best_performance, best_stability
random, 1.24, 34, 0, 43
ezr, 0.55, 36, 1, 55
causal, 1.05, 12, 0, 14

Saved: results/9/wc+rs-3d-c4-obj1.csv
