trt, performance_error, stability_agreement, best_performance, best_stability
10, 21.52, 0, 0, 1
20, 13.29, 0, 0, 31
50, 9.80, 4, 0, 80
100, 3.26, 17, 1, 95
200, 2.05, 25, 1, 99
