trt, performance_error, stability_agreement, best_performance, best_stability
10, 12.14, 1, 0, 26
20, 6.15, 16, 0, 47
50, 1.10, 44, 1, 73
100, 0.67, 45, 1, 68
200, 0.59, 61, 1, 80
