trt, performance_error, stability_agreement, best_performance, best_stability
10, 94.94, 0, 0, 1
20, 92.01, 0, 0, 3
50, 94.84, 0, 0, 17
100, 91.45, 0, 0, 66
200, 81.55, 0, 1, 100
