trt, performance_error, stability_agreement, best_performance, best_stability
10, 35.20, 15, 0, 59
20, 21.74, 8, 0, 40
50, 17.54, 16, 1, 43
100, 14.40, 30, 1, 77
200, 15.05, 96, 1, 77
