trt, performance_error, stability_agreement, best_performance, best_stability
10, 59.01, 0, 0, 72
20, 57.35, 0, 0, 92
50, 54.36, 0, 0, 45
100, 40.89, 0, 1, 57
200, 30.73, 0, 1, 68
