trt, performance_error, stability_agreement, best_performance, best_stability
10, 23.53, 0, 0, 5
20, 10.20, 1, 0, 7
50, 0.89, 15, 1, 17
100, 0.77, 79, 1, 47
200, 0.77, 100, 1, 51
