trt, performance_error, stability_agreement, best_performance, best_stability
10, 64.27, 0, 0, 19
20, 48.18, 0, 0, 34
50, 51.80, 0, 0, 53
100, 42.71, 0, 0, 63
200, 30.07, 0, 1, 92
