trt, performance_error, stability_agreement, best_performance, best_stability
10, 51.17, 0, 0, 40
20, 41.95, 0, 0, 54
50, 24.69, 6, 0, 6
100, 6.69, 65, 1, 2
200, 6.69, 100, 1, 4
