trt, performance_error, stability_agreement, best_performance, best_stability
10, 57.46, 0, 0, 31
20, 35.97, 0, 0, 43
50, 21.25, 0, 1, 58
100, 13.61, 0, 1, 76
200, 11.94, 6, 1, 97
