trt, performance_error, stability_agreement, best_performance, best_stability
10, 42.61, 0, 0, 63
20, 23.56, 5, 0, 28
50, 11.77, 66, 1, 41
100, 11.79, 68, 1, 41
200, 9.84, 72, 1, 38
