trt, performance_error, stability_agreement, best_performance, best_stability
10, 53.80, 0, 0, 48
20, 48.73, 0, 0, 39
50, 41.35, 3, 0, 16
100, 28.50, 55, 1, 26
200, 28.50, 98, 1, 32
