dataset600,85.0,78.0,78.0,85.0,93.0
dconvert,16.0,18.0,70.0,65.0,86.0
deeparch,26.0,26.0,37.0,54.0,57.0
dress-up,55.0,53.0,77.0,100.0,10.0
exastencils,18.0,34.0,74.0,76.0,93.0
home_data_for_ml_course,72.0,92.0,45.0,57.0,68.0
javagc,19.0,44.0,91.0,96.0,98.0
nasa93dem,0.0,11.0,16.0,24.0,24.0
player_statistics_cleaned_final,6.0,9.0,15.0,17.0,20.0
pom3a,11.0,4.0,41.0,87.0,96.0
pom3b,33.0,40.0,71.0,86.0,95.0
pom3c,36.0,47.0,73.0,83.0,97.0
pom3d,13.0,12.0,31.0,65.0,100.0
redis,72.0,72.0,88.0,76.0,90.0
rs-6d-c3_obj1,27.0,52.0,74.0,81.0,89.0
rs-6d-c3_obj2,10.0,31.0,91.0,86.0,93.0
socks,20.0,6.0,10.0,81.0,96.0
sol-6d-c2-obj1,29.0,38.0,43.0,62.0,95.0
storm,13.0,28.0,70.0,93.0,100.0
student_dropout,89.0,83.0,83.0,83.0,83.0
wallpaper,74.0,41.0,23.0,6.0,8.0
wc+rs-3d-c4-obj1,5.0,7.0,17.0,47.0,51.0
wc+sol-3d-c4-obj1,5.0,0.0,24.0,32.0,53.0
wc+wc-3d-c4-obj1,4.0,2.0,30.0,49.0,53.0
wc-6d-c1-obj1,29.0,43.0,39.0,87.0,85.0
x264,52.0,61.0,62.0,58.0,95.0
xomo_flight,31.0,43.0,58.0,76.0,97.0
xomo_ground,21.0,18.0,46.0,78.0,99.0
xomo_osp,12.0,17.0,58.0,78.0,96.0
xomo_osp2,37.0,44.0,65.0,84.0,90.0
