dataset600,71.84,25.56,35.97,38.88,20.87
dconvert,35.17,28.69,13.1,7.15,6.88
deeparch,33.58,30.03,16.3,4.97,0.63
dress-up,67.26,70.81,62.71,62.4,65.22
exastencils,45.75,31.82,24.9,15.47,8.51
home_data_for_ml_course,59.01,57.35,54.36,40.89,30.73
javagc,13.28,10.11,8.16,7.54,6.95
nasa93dem,53.12,64.57,52.45,52.45,52.45
player_statistics_cleaned_final,33.16,18.85,24.51,24.51,24.51
pom3a,63.92,48.59,41.11,49.06,32.87
pom3b,59.78,56.44,50.14,42.18,37.98
pom3c,67.12,61.84,49.95,51.4,51.71
pom3d,46.9,36.59,37.16,41.99,44.33
redis,62.81,62.52,65.24,66.93,61.44
rs-6d-c3_obj1,7.49,16.35,1.5,3.61,0.45
rs-6d-c3_obj2,2.32,0.89,0.89,0.87,0.89
socks,30.53,16.35,12.52,12.52,12.52
sol-6d-c2-obj1,8.98,6.76,5.71,4.66,4.83
storm,2.22,0.95,1.05,1.12,1.07
student_dropout,74.63,37.31,0.0,0.0,0.0
wallpaper,70.24,70.73,69.75,66.53,69.22
wc+rs-3d-c4-obj1,23.53,10.2,0.89,0.77,0.77
wc+sol-3d-c4-obj1,25.45,15.07,1.26,0.32,0.32
wc+wc-3d-c4-obj1,19.45,19.6,0.89,0.84,0.84
wc-6d-c1-obj1,29.96,14.19,13.08,0.74,0.77
x264,67.06,53.68,41.79,35.84,32.37
xomo_flight,57.46,35.97,21.25,13.61,11.94
xomo_ground,56.06,44.87,33.8,22.96,16.37
xomo_osp,45.16,39.99,20.52,17.95,15.35
xomo_osp2,57.24,49.75,45.99,40.46,29.06
