Dataset,Initial-0.15,Initial-0.25,Initial-0.35,Initial-0.45,Initial-0.55,Initial-0.65,Initial-0.75,Initial-0.85,Initial-1,Refined-0.15,Refined-0.25,Refined-0.35,Refined-0.45,Refined-0.55,Refined-0.65,Refined-0.75,Refined-0.85,Refined-1
SS-E,0,0,0,0,2,22,25,35,55,4,16,24,30,34,44,47,53,75
SS-F,0,0,2,2,2,2,2,4,9,6,6,6,8,11,15,25,37,41
SS-G,0,0,2,2,7,9,9,10,15,9,9,9,10,11,17,21,28,35
SS-H,0,14,14,16,29,45,53,56,71,27,51,70,77,77,77,77,77,77
SS-I,0,0,0,0,0,0,2,15,35,0,0,0,7,16,21,29,44,65
SS-J,0,0,3,21,43,54,62,65,74,1,29,42,61,89,97,100,100,100
SS-K,0,0,0,0,1,14,24,38,48,0,14,20,30,41,51,63,72,80
SS-L,0,0,0,5,18,29,33,39,56,0,5,25,53,66,81,94,99,100
SS-M,0,0,0,7,22,25,66,85,100,51,51,51,57,77,97,100,100,100
SS-N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS-O,0,0,0,0,0,2,5,11,38,0,0,0,2,16,35,53,69,91
SS-P,0,0,0,0,0,0,0,0,13,0,0,2,17,52,85,92,100,100
SS-Q,0,0,0,0,0,0,0,0,7,0,0,0,7,38,65,81,87,100
SS-R,0,0,0,0,0,0,0,0,2,0,0,0,0,10,56,91,100,100
SS-S,0,0,0,12,12,16,30,51,86,0,0,9,22,53,73,90,98,100
SS-T,0,0,0,0,0,0,1,5,18,0,0,2,9,23,34,52,82,100
SS-U,0,0,0,0,0,0,0,3,9,0,0,5,28,70,100,100,100,100
SS-V,0,0,0,0,0,0,0,3,35,0,0,0,0,8,33,73,97,100
SS-W,0,0,0,0,0,0,0,0,3,0,0,0,0,11,39,63,72,90
SS-X,0,0,0,0,0,0,0,1,6,0,0,14,29,37,63,96,100,100
Scrum100k,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,25,64,93
Scrum10k,0,0,0,0,0,0,0,1,10,0,0,0,0,1,17,51,85,99
Scrum1k,0,0,0,0,0,0,0,0,7,0,0,0,2,11,24,55,75,96
WA_Fn-UseC_-HR-Employee-Attrition,0,0,0,0,0,0,1,1,4,0,0,0,0,2,13,27,46,80
WA_Fn-UseC_-Telco-Customer-Churn,0,0,0,0,0,0,2,9,45,0,0,1,11,38,67,91,100,100
Wine_quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X264_AllMeasurements,1,4,7,13,22,42,75,92,100,0,0,0,0,55,80,96,99,100
accessories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11
all_players,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,19,41,68
auto93,0,0,0,0,11,19,31,41,84,0,0,0,6,37,65,91,99,100
billing10k,0,0,0,0,0,0,1,1,5,0,0,0,0,0,5,17,42,71
coc1000,0,0,0,0,0,0,1,12,42,0,0,0,0,0,12,44,74,98
dataset120,0,0,0,0,10,11,30,45,66,2,9,11,13,27,37,48,58,92
dataset600,0,0,0,0,2,7,20,51,91,0,4,8,12,18,33,54,71,92
dconvert,0,0,0,0,0,0,0,1,7,0,0,2,8,15,30,38,49,84
deeparch,0,0,0,0,0,0,1,8,39,0,0,12,23,35,49,89,97,100
dress-up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exastencils,0,0,0,0,0,0,0,0,0,0,0,2,7,14,22,34,45,62
home_data_for_ml_course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
javagc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,12
nasa93dem,0,0,0,1,3,3,7,13,17,0,3,15,17,20,24,27,27,27
player_statistics_cleaned_final,0,0,0,0,0,1,2,5,13,1,2,7,8,14,18,21,22,24
pom3a,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,2,9
pom3b,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,2,8,36
pom3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,33
pom3d,0,0,0,0,0,0,1,4,10,0,0,0,0,0,0,7,28,67
redis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs-6d-c3_obj1,0,0,0,2,2,3,10,16,37,3,28,51,55,71,86,95,97,100
rs-6d-c3_obj2,3,10,10,11,12,12,13,15,20,9,9,9,20,20,45,52,70,83
socks,0,0,0,0,7,7,7,27,59,5,21,27,61,65,95,100,100,100
sol-6d-c2-obj1,0,0,2,4,5,5,8,13,31,1,4,11,12,13,14,28,46,81
storm,0,1,8,22,28,36,42,48,81,0,5,19,26,26,34,34,52,94
student_dropout,42,49,54,66,67,70,72,73,77,76,76,90,90,90,100,100,100,100
wallpaper,0,0,0,0,0,0,0,0,3,0,1,5,9,24,38,51,65,74
wc+rs-3d-c4-obj1,0,0,0,4,5,23,25,39,45,0,0,4,8,13,28,42,47,51
wc+sol-3d-c4-obj1,1,1,1,1,2,5,8,15,33,1,2,3,9,15,23,33,45,50
wc+wc-3d-c4-obj1,0,0,0,2,2,2,9,22,39,7,7,7,7,7,10,12,26,48
wc-6d-c1-obj1,0,0,0,0,3,3,3,4,28,4,4,7,17,34,42,49,54,74
x264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xomo_flight,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,10,15
xomo_ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
xomo_osp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9
xomo_osp2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,18
