trt, performance_error, stability_aggreement, best_performance, best_stability
1, 17.58, 0, 1, 4
3, 19.83, 1, 0, 17
5, 20.06, 4, 0, 24
7, 22.18, 2, 0, 46
9, 25.44, 5, 0, 69
