trt, performance_error, stability_aggreement, best_performance, best_stability
1, 27.48, 0, 1, 7
3, 25.94, 0, 1, 10
5, 28.68, 1, 1, 7
7, 31.25, 0, 1, 31
9, 28.56, 13, 1, 77
