trt, performance_error, stability_aggreement, best_performance, best_stability
1, 3.41, 40, 1, 22
3, 4.62, 46, 1, 33
5, 5.84, 46, 0, 30
7, 5.86, 46, 0, 44
9, 5.79, 46, 0, 54
