trt, performance_error, stability_aggreement, best_performance, best_stability
1, 26.64, 40, 1, 84
3, 18.03, 33, 1, 78
5, 24.62, 14, 1, 77
7, 37.76, 40, 0, 83
9, 37.67, 48, 0, 87
