trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 25, 1, 73
3, 2.28, 22, 0, 56
5, 2.28, 3, 0, 43
7, 5.28, 3, 0, 47
9, 5.25, 3, 0, 58
