trt, performance_error, stability_aggreement, best_performance, best_stability
1, 12.34, 17, 1, 59
3, 20.63, 8, 0, 52
5, 27.21, 0, 0, 50
7, 31.22, 0, 0, 57
9, 29.29, 10, 0, 67
