trt, performance_error, stability_aggreement, best_performance, best_stability
1, 26.46, 13, 1, 54
3, 27.06, 14, 1, 58
5, 28.84, 13, 1, 50
7, 32.12, 11, 1, 53
9, 35.16, 9, 1, 62
