trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 0, 1, 0
3, 0.00, 0, 1, 0
5, 0.00, 0, 1, 12
7, 0.00, 0, 1, 70
9, 0.00, 0, 1, 97
