trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.50, 20, 1, 60
3, 4.99, 20, 0, 74
5, 1.87, 17, 0, 55
7, 2.36, 1, 0, 63
9, 1.84, 0, 0, 62
