trt, performance_error, stability_aggreement, best_performance, best_stability
1, 5.05, 11, 1, 37
3, 5.16, 14, 1, 31
5, 5.67, 4, 1, 22
7, 5.62, 3, 1, 61
9, 7.66, 0, 0, 21
