trt, performance_error, stability_aggreement, best_performance, best_stability
1, 51.50, 41, 1, 61
3, 51.43, 29, 1, 50
5, 59.91, 37, 1, 53
7, 59.76, 41, 1, 56
9, 51.03, 18, 1, 45
