trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 24, 1, 68
3, 1.75, 22, 1, 65
5, 2.09, 17, 1, 56
7, 5.05, 1, 0, 67
9, 4.99, 0, 0, 56
