trt, performance_error, stability_aggreement, best_performance, best_stability
1, 33.16, 7, 1, 9
3, 24.77, 10, 1, 28
5, 40.27, 4, 1, 22
7, 34.67, 8, 1, 47
9, 23.07, 8, 1, 76
