trt, performance_error, stability_aggreement, best_performance, best_stability
1, 0.00, 81, 1, 38
3, 0.00, 92, 1, 23
5, 0.00, 100, 1, 28
7, 0.00, 100, 1, 26
9, 0.00, 100, 1, 28
