trt, performance_error, stability_aggreement, best_performance, best_stability
1, 32.21, 4, 1, 13
3, 40.68, 14, 0, 33
5, 37.43, 10, 0, 45
7, 40.15, 15, 0, 34
9, 42.24, 0, 0, 5
