trt, performance_error, stability_aggreement, best_performance, best_stability
1, 49.38, 0, 1, 0
3, 55.51, 0, 1, 3
5, 50.48, 0, 1, 13
7, 55.30, 0, 1, 54
9, 51.26, 0, 1, 87
