trt, performance_error, stability_aggreement, best_performance, best_stability
1, 8.40, 23, 1, 26
3, 12.00, 38, 1, 46
5, 13.61, 24, 1, 16
7, 14.46, 24, 1, 17
9, 14.70, 1, 1, 38
