trt, performance_error, stability_aggreement, best_performance, best_stability
1, 18.11, 0, 1, 2
3, 12.79, 0, 1, 2
5, 16.74, 0, 1, 24
7, 23.01, 0, 0, 63
9, 26.11, 0, 0, 80
